mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_outlier_Transformer,param_scaler,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
12.974597549438476,0.2804578183023479,0.12545418739318848,0.022422184128075957,RandomForestClassifier(),IQRTransformer(),,"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': None}",0.7673576834485027,0.7765712405396512,0.7792036854228365,0.7591312931885489,0.7828232971372162,0.7730174399473511,0.008624521811602942,11
13.211649179458618,0.2801072597038739,0.12815728187561035,0.006302046814377663,RandomForestClassifier(),IQRTransformer(),StandardScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': StandardScaler()}",0.7732806844356697,0.769990128331688,0.780190852254031,0.7581441263573544,0.7890753537347812,0.7741362290227048,0.010329621142867236,8
12.882131767272949,0.04134416473657707,0.11882987022399902,0.007715612506989211,RandomForestClassifier(),IQRTransformer(),RobustScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': RobustScaler()}",0.7722935176044752,0.7772293517604475,0.778216518591642,0.7574860151365581,0.7838104639684107,0.7738071734123066,0.008943051077495523,10
13.112662076950073,0.08121754675081957,0.1125030517578125,0.015315404505317855,RandomForestClassifier(),IQRTransformer(),MinMaxScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': MinMaxScaler()}",0.7736097400460678,0.7726225732148733,0.7772293517604475,0.7581441263573544,0.7890753537347812,0.7741362290227048,0.00991020229500814,8
13.29754638671875,0.04611465319492378,0.11259498596191406,0.011796106566720869,RandomForestClassifier(),IQRTransformer(),MaxAbsScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': MaxAbsScaler()}",0.7722935176044752,0.7765712405396512,0.7821651859164199,0.7666995722277065,0.7831523527476143,0.7761763738071734,0.006157473716731069,5
13.3135479927063,0.17445602864361323,0.13760361671447754,0.015255614464254393,RandomForestClassifier(),IQRTransformer(),QuantileTransformer(n_quantiles=100),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': IQRTransformer(), 'scaler': QuantileTransformer(n_quantiles=100)}",0.7660414610069102,0.7745969068772622,0.7778874629812438,0.7597894044093452,0.7828232971372162,0.7722277064823955,0.008281225597763014,12
13.881908416748047,0.29864769761974075,0.13754348754882811,0.0333770520318806,RandomForestClassifier(),ZScoreTransformer(),,"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': None}",0.7693320171108917,0.7775584073708457,0.7788746298124383,0.7706482395524844,0.784468575189207,0.7761763738071734,0.005574167075448423,5
13.826449728012085,0.15495908180002482,0.1122502326965332,0.01123654216803153,RandomForestClassifier(),ZScoreTransformer(),StandardScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': StandardScaler()}",0.7713063507732807,0.7752550180980585,0.7755840737084567,0.7693320171108917,0.7940111878907535,0.7770977295162882,0.008781778525657721,4
13.922192525863647,0.2103273843897743,0.11561717987060546,0.015918944119818132,RandomForestClassifier(),ZScoreTransformer(),RobustScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': RobustScaler()}",0.7765712405396512,0.7798617966436328,0.7792036854228365,0.7640671273445212,0.7900625205659757,0.7779532741033235,0.00832556214589984,2
13.874027633666993,0.23118151165304435,0.11884703636169433,0.02899271434242756,RandomForestClassifier(),ZScoreTransformer(),MinMaxScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': MinMaxScaler()}",0.7706482395524844,0.7792036854228365,0.7745969068772622,0.7653833497861139,0.7959855215531425,0.7771635406383679,0.010452165420778843,3
13.785849142074586,0.16140821872118752,0.10947027206420898,0.017289498135616903,RandomForestClassifier(),ZScoreTransformer(),MaxAbsScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': MaxAbsScaler()}",0.7713063507732807,0.7745969068772622,0.7884172425139848,0.7690029615004936,0.7877591312931885,0.778216518591642,0.008256607877624032,1
13.888622760772705,0.15651386581809795,0.12191133499145508,0.02498513915540902,RandomForestClassifier(),ZScoreTransformer(),QuantileTransformer(n_quantiles=100),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ZScoreTransformer(), 'scaler': QuantileTransformer(n_quantiles=100)}",0.7670286278381047,0.7765712405396512,0.7765712405396512,0.765712405396512,0.7940111878907535,0.7759789404409345,0.010113094723299245,7
12.829585361480714,0.14596016090567077,0.1031275749206543,0.007657830019307575,RandomForestClassifier(),ModifiedZScoreTransformer(),,"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ModifiedZScoreTransformer(), 'scaler': None}",0.7640671273445212,0.7686739058900954,0.7693320171108917,0.7574860151365581,0.7792036854228365,0.7677525501809805,0.007119777998709318,24
13.001400566101074,0.2841140353537642,0.11562681198120117,0.012502314207322503,RandomForestClassifier(),ModifiedZScoreTransformer(),StandardScaler(),"{'classifier': RandomForestClassifier(), 'outlier_Transformer': ModifiedZScoreTransformer(), 'scaler': StandardScaler()}",0.7640671273445212,0.7696610727212899,0.767686739058901,0.7551826258637709,0.7752550180980585,0.7663705166173084,0.006662868289344059,25
